Race Number,Event Name,Race Name and Type,Position,Lane Number,Club Code,Club Name,Crew List
42,Coxless Fours Tier 1,Heat 1,1,7,AGE,Agecroft RC,Ellie Lewis
42,Coxless Fours Tier 1,Heat 1,2,1,TRC,Thames RC,Suzi Perry
42,Coxless Fours Tier 1,Heat 1,3,2,GRO,Grosvenor RC,Lucy Iball
42,Coxless Fours Tier 1,Heat 1,4,3,NRC,Nottingham RC,Aerin Thompson
42,Coxless Fours Tier 1,Heat 1,5,6,NOR,Norwich RC,Bethany Meakin
42,Coxless Fours Tier 1,Heat 1,6,5,TUN,Taunton RC,Taunton RC
43,Women's Lwt 1x,Heat 2,1,4,EXU,Exeter Univ,Susannah Duncan
43,Women's Lwt 1x,Heat 2,2,7,BAU,Bath Univ,Laura Macro
43,Women's Lwt 1x,Heat 2,3,6,ZFS,Skibereen RC,Orla Hayes
43,Women's Lwt 1x,Heat 2,4,3,PET,Peterborough,Camilla Plumb
43,Women's Lwt 1x,Heat 2,5,2,UBR,Bristol Univ,Teuntje Tijssen
43,Women's Lwt 1x,Heat 2,6,5,WRR,Worcester RC,Jennifer Jackson
46,Junior 18 SIngle Sculls,Final,1,4,ZCK,Cork BC,Barry Connolly
46,Junior 18 SIngle Sculls,Final,2,3,BAE,Barn Elms RC,Arun Jackson
46,Junior 18 SIngle Sculls,Final,3,6,MIN,Minerva Bath RC,Jens Hullah
46,Junior 18 SIngle Sculls,Final,4,7,ZCK,Cork BC,Cian O'Sullivan
46,Junior 18 SIngle Sculls,Final,5,5,CFC,Cardiff City RC,George Cowley
46,Junior 18 SIngle Sculls,Final,6,2,MHD,Maidenhead RC,Elliott Kemp
46,Junior 18 SIngle Sculls,Final,7,1,LEE,Leeds RC,Androioannis Lorentzatos
47,Women's Eights Tier 1,SFCD 1,1,7,AGE,Agecroft RC,"Frances Barrand, Camilla O'Driscoll, Kate Silverthorne, Grace Miller, Charlotte Walsh, Florence Morton, Alexandra Gardiner, Charlotte Grandfield, [Cox] Marion Vannier"
47,Women's Eights Tier 1,SFCD 1,2,6,ZGY,Galway RC,"Ruth Elwood, Kellie-Ann Folan, Isabella McDonald, Roisin Cahill, Kellie Wade, Amy Sims, Claire Elwood, Fiona Murtagh, [Cox] Sarah Lynch"
47,Women's Eights Tier 1,SFCD 1,3,5,FUL,Fulham Reach,"Sally Hodgson, Ella Hutchinson, Fay Sandford, Georgina Phillips, Elizabeth Cottrell, Beatrix Sheldrick, Jenny Arnold, Fiona Schlesinger, [Cox] S Tjornelund"
47,Women's Eights Tier 1,SFCD 1,4,4,DUB (B),Durham Univ,"Francesca Quinn, Gabriella Hatfield, Megan Lillington, Maya Nickituk, Alicia Schwarzenbach, Eva Siwiak-Jaszek, Megan Connolly, Harriet Watson, [Cox] Zoe Evans"
47,Women's Eights Tier 1,SFCD 1,5,3,ZNU (B),NUI Galway BC,"Shannon Sheridian, Sorcha O'Donnell, Siuan Mannion, Aisling Nolan, Naomi Tunstead, Sarah Blaney, Ailbhe NÃ- Griofa, Ellen Ormsby, [Cox] Cathal McNamara"
47,Women's Eights Tier 1,SFCD 1,6,2,CBR (A),Bristol City,"Caitlin Bloom, Rebecca Perkins, Sofia Deambrosi, Emma Bawden, Lauren O'Neill, Jenny Chapman, Chloe Farrar, Rachel Wilson, [Cox] Isobel Stone"
47,Women's Eights Tier 1,SFCD 1,7,1,EXU,Exeter Univ,"Sophie Wrixon, Emily Batchelor, Julia Bradley, Eleanor Hayes, Arabella Weetch, Jemima Betts, Eleanor Foot, Alex Flynn, Helene Stabell Haaheim, [Cox] Rossana Wing"
48,Women's Eights Tier 1,SFCD 2,1,6,KRC/ LEA/ QBC,Kingston RC/ Lea RC/ Quintin B...,"Rebekah Edgar (QBC), Claire McIntosh (TSS), Amanda Benson-Skailes (LEA), Bridget Snaith (LEA), Judith Schulz (TSS), Caroline Matthews (TSS), Elaine Johnstone (TSS), Andrea Finn (KRC), [Cox] Megan Neville (ULO)"
48,Women's Eights Tier 1,SFCD 2,2,7,VRC,Vesta RC,"Cameo Choquer, Victoria Carroll, Fiona Robinson, Cherry Fermor, Hannah Futter, Clare Wood, Catherine Long, Kirsty McGregor-Ritchie, [Cox] Lauren Hardcastle"
48,Women's Eights Tier 1,SFCD 2,3,5,UBR (B),Bristol Univ,"Lily Donovan, Charlotte Rogers, Rosie Watkins, Sophie Angel, Madeleine Jannoe, Grace Ward-Allen, Catherine Nohre, Charlotte Marshall, [Cox] Caroline Welsh"
48,Women's Eights Tier 1,SFCD 2,4,4,STN,Staines BC,"Suzanne Cole, Georgina Watling, Rachel Brown, Claire Couves, Sophie Richards, Catherine Long, Maddison Shoolbread, Emma Corless, [Cox] Anna Cackett"
48,Women's Eights Tier 1,SFCD 2,5,2,UCL,UC London,"Emily Nash, Anna-Rose Truman, Catherine Bentley, Claudia Abdallah, Rachel Dumbrell, Natalie Ohene, Ellen Forsyth, Tegan Foister, [Cox] Lauren Johncock"
48,Women's Eights Tier 1,SFCD 2,6,3,TRC (B),Thames RC,"Robyn Carter, Louisa Horton, Jennifer O'Boyle, Lucy Nee, Sophie Jenkins, Bryony Spottiswoode, Charlotte Potter, Eleanor Roberts, [Cox] Alastair Jackson"
48,Women's Eights Tier 1,SFCD 2,7,1,CUR,Curlew RC,"Rebecca Jackson, Inga Jirgensone, Claire Williams, Lianne Abbott, Gemma Barker, Anna Palsdottir, Charlotte Waghorne, Jessica Phillips, [Cox] Alexander Smith"
49,Women's Eights Tier 1,SFAB 1,1,7,MBC,Molesey BC,"Emma McDonald, Caitlin Boyland, Gabby Rodriguez, Elo Luik, Lucy Primmer, Ruth Whyman, Rebecca Edwards, Katie Bartlett, [Cox] Morgan Baynham-Williams"
49,Women's Eights Tier 1,SFAB 1,2,6,NEW (A),Newcastle Univ,"Fiona Chestnutt, Frances Russell, Harriet Aubrook, Lydia Davis, Katherine Bulmer, Leah Kindleyside, Harriet Roddy, Rachel Webb, [Cox] Sophie Bury"
49,Women's Eights Tier 1,SFAB 1,3,5,OXB (B),Oxford Brookes,"Alex Styles, Alice Harper, Katie Metalli, Lucy Mason, Johanna Gannon, Francesca Molyneux, Aly Vogelzang, Madeleine Dobson, [Cox] Aisling Humphries-Griffiths"
49,Women's Eights Tier 1,SFAB 1,4,4,NEW (B),Newcastle Univ,"Phoebe Truett, Sundee Denton-Chandler, Anna Van de Braak, Charlotte Dobson, Kate Woolley, Kathryn Eccles, Leanne Knight, Lucy Stanhope, [Cox] Charlotte Hill"
49,Women's Eights Tier 1,SFAB 1,5,3,ZCR,Commercial RC,"martina bracken, edel gary, gill crowe, gillian hosford, naomi fearon, hazel o neill, Sinead Dolan, ruth morris, [Cox] niamh williams"
49,Women's Eights Tier 1,SFAB 1,6,2,ZDT (A),Dublin U Ladies,"Nora Fisher, Sarah Kelly, Aoife Corcoran, Caoimhe Dempsey, Aoife Byrne, Gemma Foley, Laura Walsh, Sarah Higgins, [Cox] Aoife Reid"
49,Women's Eights Tier 1,SFAB 1,7,1,AKN,Auriol Ken,"Kirsty Page, Angela Hitchens, Sophie Lovett, Amanda Piggot, Katherine Pankhurst, Tamara Zwaagstra, Joanna Innes-Hopkins, Catherine Edwards, [Cox] Chris Williamson"
50,Women's Eights Tier 1,SFAB 2,1,7,ULO,London Univ,"Emily Wilks, Lottie Bruce, Fionnuala Gannon, Emma Reiser, Charlotte Hodgkins-Byrne, Georgia Statham, Alessandra French, Robyn Hart-Winks, [Cox] Lauren Holland"
50,Women's Eights Tier 1,SFAB 2,2,6,ZNU (A),NUI Galway BC,"Alison Mooney, Susan Kennelly, Aisling Cahill, Georgina Deane, Alannah Leonard, Nuala Landers, Sadhbh O'Connor, Marie Pigott, [Cox] Johanna Walsh"
50,Women's Eights Tier 1,SFAB 2,3,5,DUB (A),Durham Univ,"Amy Polglase, Helena Louise Lang, Tessa van Veen, Ellen Roberts, Lauren Irwin, Helena Barton, Rebekka Hodson, Hanna Gailis Inntjore, [Cox] Abigail Riley"
50,Women's Eights Tier 1,SFAB 2,4,4,TSS,Tideway Sc Sch,"Holly Smith, Roxanna Colebatch, Megan Hollands, Alicia Keith, Ellenor Peebles, Cecilia Ricks, Sally Trump, Katie Potter, [Cox] Sophie Shapter"
50,Women's Eights Tier 1,SFAB 2,5,2,UBR (A),Bristol Univ,"Cecilia Assmundson, Phoebe Beer, Alice Davies, Charlotte Greenwood, Sally Elphick, Alice Lovett, Nathalie Rappaport, Jessica Pope, [Cox] Sophia Margetts"
50,Women's Eights Tier 1,SFAB 2,6,3,TRC (A),Thames RC,"Clodagh Loughnane, Charlotte Orrell, Helen Carswell, Rose Bernard, Hannah Laird, Katrine Eskander, Katherine Woodward, Flora Emeney, [Cox] Nathalie Kernan"
50,Women's Eights Tier 1,SFAB 2,7,1,LLA,Llandaff RC,"Catherine Raine, Grace Mahony, Bridget Lapage, Alison Boyes, Emily Brace, Ella Tepper, Olivia Howe, Georgie Haynes, [Cox] Richard Summers"
51,Women's Double Sculls Tier 3,Final,1,7,IMP,Imperial Coll,"Jowita Mieszkowska, Kathryn Barnhill"
51,Women's Double Sculls Tier 3,Final,2,4,MBC (A),Molesey BC,"Hannah Foxley, Marie Grant"
51,Women's Double Sculls Tier 3,Final,3,6,TSS (B),Tideway Sc Sch,"Marlie Carter Edwards, Elizabeth Williams"
51,Women's Double Sculls Tier 3,Final,4,5,NWK,Newark RC,"Georgia Bryan, Tilly Ireland"
51,Women's Double Sculls Tier 3,Final,5,2,RDU (B),Reading Univ,"Beatrice Roe, Katherine Swales"
51,Women's Double Sculls Tier 3,Final,6,3,AGE,Agecroft RC,"Lauren Barclay, Jessica Swindells"
52,Eights Tier 1,SFEF 1,1,7,LEA,Lea RC,"James Stanier, Thomas Wei, Max James Beverton, Ross McDonald, Hugh Berry, Anthony Brewer, Evan Whittal-Williams, Emilio Hernandez, [Cox] Richard Hill"
52,Eights Tier 1,SFEF 1,2,6,BAU,Bath Univ,"James Martin, Charlie Parker, Ben Pickford, Matthew Moore, Matthew Horsford, Marcus Lewis, William England, Thomas Bowles, [Cox] Daniel Baillache"
52,Eights Tier 1,SFEF 1,3,5,LRC (B),London RC,"Will Golding, Christopher Linn, Joshua Scott Meredith, Aidan O' Flaherty, Edward Sandhu, Nick Adams, George Trelawny, Rory Corbett, [Cox] Charlotte Fuscone"
52,Eights Tier 1,SFEF 1,4,3,UCL (A),UC London,"Ludovic Lenders, James Dyson, Oscar Frith, Sachin Turakhia, John Figi, Maximilian Hess, Rory Dawson, Jaime San Miguel Navas, [Cox] Florence Beard"
52,Eights Tier 1,SFEF 1,5,1,MBC,Molesey BC,"Jonna de Vries, William Hetherington, Cledwyn Ellison, James Phillips, Aaron Wilkins, Robin Mould, Adam Heayberd, Ashley Cowley, William Johnston, [Cox] Anna Corderoy"
52,Eights Tier 1,SFEF 1,6,2,UWK (A),Warwick Univ,"Mark Hughes, Jack Hutchinson, Alexander Dawson, Tiago Fachada, Thomas Hall, Joshua Semple, Lukas UhrstrÃ¶m, Jake Bedford, [Cox] Sophie Ledingham"
53,Eights Tier 1,SFEF 2,1,6,UWE,W England Univ,"Aghaude Amadi, Edward Dean, Benjamin Stafford, Charles Wagstaff, Liam Hopkins, Will Lord, Andrew Heath, Tim Waller, [Cox] Freya Jennings"
53,Eights Tier 1,SFEF 2,2,5,WRR,Worcester RC,"David Hopkins, James Riach, Alex Kearns, Jack McDonald, Ryan Pettifer, William Fraser, Joshua Rogers, Timothy Woodman, [Cox] Molly Elkins"
53,Eights Tier 1,SFEF 2,3,7,TRC (C),Thames RC,"William Hilder, Andrew Curry, Thomas Burnell, Alexander Woolley, Radulf Bertschinger, Alexander Bennett, William Campbell, Keir Macdonald, [Cox] Jennifer Wainer"
53,Eights Tier 1,SFEF 2,4,4,NRC,Nottingham RC,"Hamish Hughes, Toby Piggott, Matthew Bowles, Adam Wright, George Rymell, Stephen Bennett, Ben Farrell, James Doleman, [Cox] Sophie Jones"
53,Eights Tier 1,SFEF 2,5,2,ZNU (B),NUI Galway BC,"Jack Kilduff, Alex Chadfield, Kai McGlacken, Baptiste Guerinot, Brian Keane, Eoghan Walls-Tuite, Gerry Mannion, Donal Coen, [Cox] Cathal McNamara"
53,Eights Tier 1,SFEF 2,6,1,IMP (B),Imperial Coll,"Ian Kegler, James Wilson, David Simmonds, Matthew Layton, Ben Hambrook, Matthew McElroy, Harry Uglow, Harry Knights, [Cox] Charlotte Grayson"
53,Eights Tier 1,SFEF 2,7,3,EXU (A),Exeter Univ,"Thomas Richards, Cameron Murray, Nicholas Mathers, Carl Lofthagen, Tristan Taylor, John Hunt, Angus Irvine, Charles Scott, [Cox] Edward Mills"
54,Eights Tier 1,SFCD 1,1,7,ZDU (A),Dublin University BC,"Adam Browne, Willian Doyle, Matthew Mitchell, Patrick Moreau, Liam Hawkes, Josh Norton, Liadov Andrej, Mark Quigely, [Cox] Hamilton Rowan"
54,Eights Tier 1,SFCD 1,2,6,TRC (B),Thames RC,"Simon Moss, Joe Abdalla, Huw Jones, Andrew Gordon, Charlie Bouch, Sam Thornton, Thomas Symons, Sebastien Tyrie, [Cox] Emily Burge"
54,Eights Tier 1,SFCD 1,3,5,AGE,Agecroft RC,"Andrew Thomas, Rory O'Neill, Thomas Buckley, Tristan Hollis, Sean Szekely, John Ford, Benedict Adey-Johnson, Jack Roe, [Cox] Lucy Masters"
54,Eights Tier 1,SFCD 1,4,4,CUR,Curlew RC,"John Stewart, Angus Wilson, Lukas Schmidt, Callum Stayton, Eoghan Beamish, Alexander James Parsons-Mills, T Weekes, Matthew Richardson, [Cox] Nicola Freeman"
54,Eights Tier 1,SFCD 1,5,1,COX,Oxford City,"Toby Seely, Simon Kerswell-Jensen, William Clarke, James Green, Matthew Jones, Henry Drohan, Lucian Purvis, Malcolm Nisbet, [Cox] Alissa Bray"
54,Eights Tier 1,SFCD 1,6,3,ZDU (B),Dublin University BC,"Ryan Dullaghan, Donal O'Shea, Daniel Dennis, Lucas Prodohl, Sean Canning, William Eddershaw, Mark Connolly, Brian Cronin, [Cox] Hamilton Rowan"
54,Eights Tier 1,SFCD 1,7,2,OXB (E),Oxford Brookes,"Jacob Anderson, Jordan Pepermans, Charlie Johnston, Jack Rhodes, Matthew Jones, Ben Eames, Jasper Elliott, Samuel Smith, [Cox] Katy Ward"
55,Eights Tier 1,SFCD 2,1,7,TKC,Team Keane,"Edward Shields, George McKirdy, Benedict Aldous, Anthonie Jacobson, Charles Thurston, Stevan Boljevic, Robert Boswall, Henry Shalders, [Cox] Angus Forbes"
55,Eights Tier 1,SFCD 2,2,6,TSS,Tideway Sc Sch,"Ishan Barve, Rob Hogan, Sean Blake, Robert Muscroft, James Budenberg, Robert Hodgson, Samuel Anderson, Edward Beckett, Kieran Brown, [Cox] Ruaridh MacPhee"
55,Eights Tier 1,SFCD 2,3,5,ULO (B),London Univ,"Matthew Denley, Hendrik Kroon, Toby Langstone, Charles Middleton, Alexander Fisher, Will Carey, Thomas Bruce, Guy Screaton, [Cox] Lucy Jones"
55,Eights Tier 1,SFCD 2,4,4,RCH,Royal Chester,"Fraser Morgan, Henry William McGarva, Peter Dean, Daniel Weatherly, Harrison Hunter, Thomas Rushton, Alexander Constantinou, John Hedley McGarva, [Cox] Sarah Armstrong"
55,Eights Tier 1,SFCD 2,5,3,SHR,Shrewsbury Sch,"Matthew Hedges, Rory McKirdy, Alexander King, Matthew Farrow, Barnaby Fox, Alex Lyster-Binns, Matthew Rowe, Sam Branford, [Cox] Tomas Shiels"
55,Eights Tier 1,SFCD 2,6,2,ZCD (B),University Coll Dublin RC,"Cameron Murphy, Coman O'Connell, Michael Noonan, Mark Doyle, Seamus Kennedy, Colm O'Riada, Joe Ronaldson, James O'Sullivan, [Cox] Shauna Fitz"
55,Eights Tier 1,SFCD 2,7,1,UBR (A),Bristol Univ,"Benjamin Slingsby, Harry Rosen, Alex Heslop, Elias Kassell Raymond, Thomas Nicholson, Callum Gathercole, Jack Squizzoni, Harry Stroud, [Cox] Jennifer Cocke"
56,Eights Tier 1,SFAB 1,1,5,OXB (A),Oxford Brookes,"Joshua Bugajski, Robert Massey, Matthew Aldridge, Rory Gibbs, Michael Glover, Morgan Bolding, Henry Swarbrick, James Stanhope, [Cox] Harry Brightmore"
56,Eights Tier 1,SFAB 1,2,7,ULO (A),London Univ,"Ben Freeman, James Richards, Alex Steventon, Max Townley, Joshua Tolley, Patrick Boomer, Joshua Kent, Patrick Sullivan, [Cox] Rajaei Sharma"
56,Eights Tier 1,SFAB 1,3,6,SPS (A),St Paul's Sch,"Cameron McInroy, George Dickinson, Max Deering, Leo Von Malaise, Calvin Tarczy, Douwe De Graaf, Casper Woods, Alex Langstone-Bolt, [Cox] Axel De Boissard"
56,Eights Tier 1,SFAB 1,4,2,ZNU (A),NUI Galway BC,"Oisin Nolan, Brion O'Rourke, Eoghan Whittle, Jack Bennett, Mantis Pukelis, Kevin Nevile, Richard Bennett, Liam Keane, [Cox] Cathal McNamara"
56,Eights Tier 1,SFAB 1,5,1,ZCD (A),University Coll Dublin RC,"Niall Farrell, David Somers, Tiarnan Doherty, Max Murphy, Sam Bolger, Andrew Griffin, Eoin Gleeson, Ross Thompson, [Cox] Orlagh Reid"
56,Eights Tier 1,SFAB 1,6,4,OXB (D),Oxford Brookes,"Matthew Swiss, Connor Smith, James Snowball, Ben Murphy, Leon Redman, Oliver Ayres, Oliver Gerrard, Patrick Tawns, [Cox] Laura Hyatt"
56,Eights Tier 1,SFAB 1,7,3,GOL,Goldie BC,"John McCarthy, Jonty Page, Richard Goerke, Sam Ringer, Thomas Strudwick, Seoirse Murray, James Henderson, Pieter Lammers, [Cox] Emily Gordon"
57,Eights Tier 1,SFAB 2,1,5,OXB (B),Oxford Brookes,"Dylan Mitchell, Christopher Zahn, William Hall, Robin Stirling, Christopher Tebb, Gareth Syphas, Brendan Edwards, Matthew Hnatiw, [Cox] Charles Clarke"
57,Eights Tier 1,SFAB 2,2,6,OXB (C),Oxford Brookes,"Ben O'Neill, Edwin Grimster, Luke Hillier, Harry Hogan, Tom Asteriades, Matthew Newman, Benjamin Reeves, Oliver Morgan, [Cox] Gavin McWilliams"
57,Eights Tier 1,SFAB 2,3,7,TRC (A),Thames RC,"Alex Morris, Ian Hurley, Samuel Barnes, Orlando Nixon, Skye Landon, Ben Thomas, William Moorhouse, Thomas Phelps, [Cox] Vlad Saigau"
57,Eights Tier 1,SFAB 2,4,4,SAA,Star & Arrow,"Tom Wiblin, Patrick George, Harry Higginbottom, James Fox, Jonathan Cameron, Callum Johnson, Chris Ray, Bertie Woodward-Fisher, [Cox] Samuel Royston"
57,Eights Tier 1,SFAB 2,5,1,IMP,Imperial Coll,"Romain Barnoud, James Harrison, Luke Whiting, Edward Bentley, A Ball, Edward Rees, Jonathan Edwards, Alister Fraser, [Cox] Emily Boother"
57,Eights Tier 1,SFAB 2,6,3,LRC (A),London RC,"Matthew Reeder, Dylan Wing, Todd Hale, Thomas Neeld, Tom Monaghan, Jamie Saunders, Sebastien Thomas, Lucas Vitale, [Cox] Kim Wilkinson"
57,Eights Tier 1,SFAB 2,7,2,KRC,Kingston RC,"Adele Hing, Andrew Bedford, Edward Davies, Ben Handy, Thomas Rawlins, Hal Bedford-Payne, Cameron Spurling, George Fellows, [Cox] Prudence Seaward"
58,Coxless Pairs Tier 2,Final,1,7,LDR,Leander Club,"Richard Clarke, Edward Gleadowe"
58,Coxless Pairs Tier 2,Final,2,5,ZUC,University Coll Cork RC,"David Synnott, Steven Murphy"
58,Coxless Pairs Tier 2,Final,3,4,CNN (B),Cambridge 99,"Nicholas Thorn, Helge Dietert"
58,Coxless Pairs Tier 2,Final,4,6,AKN,Auriol Ken,"James Dickinson, Mark Mearing-Smith"
58,Coxless Pairs Tier 2,Final,5,3,ZCK,Cork BC,"Tomas Power, Sean O'Sullivan"
58,Coxless Pairs Tier 2,Final,6,2,SCU,Strathclyde U,"Edward Ayton, Calum Young"
59,Double Sculls Tier 3,Final,1,3,OXB,Oxford Brookes,"Matthew Martinez, Alexander Bavage"
59,Double Sculls Tier 3,Final,2,1,SCU,Strathclyde U,"LukÃ¡Å¡ Melichar, Christopher Parsonage"
59,Double Sculls Tier 3,Final,3,4,TWK,Twickenham RC,"Oliver Hellel, Oliver Warren"
60,Masters Eights,Final,1,7,TSS,Tideway Sc Sch,"H Williams, Benjamin Bridger, Jamie Priestley, Roger Swift, David Best, Tim Sanders, R Clarke, Peter Watts, [Cox] L Greaves"
60,Masters Eights,Final,2,6,PTR (A),Putney Town,"Craig Judd, Alex Marengo, Nicolas Francis Journeaux, Paul Debois, Peter Rogers, Gavin C Donaldson, Simon De Maria, Geoffrey Metzger, William Desmond, [Cox] Julie Lewis"
60,Masters Eights,Final,3,5,PTR (B),Putney Town,"James Diserens, Stephen Rose, Keith Wills, Jonathan Selby, Richard Fryer, David Oswell, Tim Green, Geoffrey Charles Adams, Jeremy Brecknock, [Cox] R C Jewkes"
62,SIngle Sculls Tier 3,Heat 1,1,4,GRI,Griffen BC,Daniel Boddington
62,SIngle Sculls Tier 3,Heat 1,2,3,BUR,Burway RC,Jack Barrett
62,SIngle Sculls Tier 3,Heat 1,3,1,GLU,Glasgow Univ,Matthew Mole
62,SIngle Sculls Tier 3,Heat 1,4,5,ZDJ,Castleconnell Boat Club,Fionnan Crowley
62,SIngle Sculls Tier 3,Heat 1,5,6,BAU,Bath Univ,Thomas Stace
62,SIngle Sculls Tier 3,Heat 1,6,2,TSS,Tideway Sc Sch,Jack Keech
63,SIngle Sculls Tier 3,Heat 2,1,5,AGE,Agecroft RC,Hugh Gallie
