i,club,composite,Flag,r1,r2,r3,r4,r5,r6,r7,r8,FPos
1,Leander Club,No,A,Emily Ford,Rowan McKellar,Emily Ashford,Harriet Taylor,Fiona Gammond,Emily Carmichael,Karen Bennett,Holly Norton,1
2,Cambridge University Womens Boat Club,No,A,Patricia Smith,Imogen Grant,Paula Wesselmann,Alice White,Kelsey Barolak,Thea Zabell,Myriam Goudet,Olivia Coffey,2
3,Imperial College Boat Club,No,A,Joanna Thom,Alexandra Stonehill,Helen Elizabeth Kirkpatrick,Melanie Wilson,Georgia Francis,Rebecca Shorten,Rebecca Scown,Zoe Lee,3
5,Molesey Boat Club,No,A,Emma McDonald,Lucy Primmer,Gabby Rodriguez,Molly Harding,Ruth Whyman,Rebecca Girling,Rebecca Edwards,Katie Bartlett,4
4,University of London Boat Club,No,A,Alessandra French,Sara Parfett,Hannah Roberts,Oonagh Cousins,Charlotte Hodgkins-Byrne,Georgia Statham,Jordan Cole-Hossain,Isobel Powell,5
6,Oxford Brookes University Boat Club,No,A,Imogen Mackie,Mary Wilson,Emily Herridge,Anna Boada,Susannah Dear,Annie Withers,Sophia Heath,Zoe Taylor,6
8,Edinburgh University Boat Club,No,A,Bettie Payne,Flora Blake-Parsons,India Somerside,Lauren Gray,Lucy Glover,Jane Hardie,Lydia Currie,Alex Rankin,7
7,Cambridge University Womens Boat Club,No,B,Lucy Pike,Emma Andrews,Pippa Dakin,Laura Foster,Abigail Parker,Larkin Sayre,Daphne Martschenko,Amelia Perrin,8
52,Leander Club,No,B,Natasha Harris-White,Rachel Heap,Zoe Adamson,Bayly Camp,Ruth Siddorn,Sarah Bowyer,Georgina Brayshaw,Laura Meridew ,9
10,Tideway Scullers School,No,A,Cecilia Ricks,Amelia Carlton,Emma Reiser,Lara Emma Catherine Valt,Katy Wilkinson-Feller,Bethan Walters,Kate Wagstaff,Anna Terry,10
15,Newcastle University Boat Club,No,A,Nicole Lamb,Fiona Chestnutt,Georgia Parker,Hannah Cowie,Amy Bowman,Frances Russell,Lola Anderson,Megan Barry,11
18,Thames Rowing Club,No,A,Alex Styles,Katherine Woodward,Suzi Perry,Caterina Buizza,Amy Gibson,Jessica Eastwood,Pippa Whittaker,Natalie Hardy,12
11,Exeter University Boat Club,No,A,Sophie Ackert,Eleanor Hayes,Danielle Semple,Susannah Duncan,Abigail Pape,Oluwaseun Olusanya,Rosanna Little,Sophie Coltman,13
17,Henley Rowing Club,No,A,Phoebe Fletcher,Phyllis Barter,Georgina Robinson Ranger,Alice Jones,Mary Wright,Daisy Butterworth,Charlotte Orr,Isabel Jonsson,14
21,University of London Boat Club,No,B,Amber Pierce,Robyn Hart-Winks,Nicola kate Lawless,Sheyi Blackett,Fionnuala Gannon,Kathryn Barnhill,Emily Lindberg,Kesiah Roe,15
16,Oxford Brookes University Boat Club,No,B,Elizabeth Haskins,Bethany Meakin,Beth Willford - Dutton ,Annabel Stevens,Johanna Gannon,Ella Morgan,Aly Vogelzang,Madeleine Dobson,16
26,Newcastle University Boat Club,No,B,Gaby Munyard,Lucy Stanhope,Harriet Aubrook,Chloe Deyermond,Lauren Kay,Anna Van de Braak,Phoebe Truett,Rachel Webb,17
12,Durham University Boat Club,No,A,Francesca Quinn,Kate Lillington,Megan Lillington,Amy Polglase,Lauren Irwin,Helena Barton,Georgia Dean,Helena Louise Lang,18
28,Nottingham Rowing Club,No,A,Josephine Bowman,Abigail Baldwin,Fleur Tavare,Sophie Connolly,Annie Campbell-Orde,Kate Parsons,Charlotte Brown,Lucy Holgate,19
14,Cantabrigian Rowing Club,No,A,Georgia Vann,Jessie Spivey,Emma Dalrymple,Anna Suchankova,Megan Lloyd-Palmer,Andrea de Bruin,Eleanor Darlington,Fiona Macklin,20
19,Molesey Boat Club,No,B,Sophie Heywood,Pippa Birch,Iona Riley,Marie Grant,Charlotte Gill,Claire McKeown,Xanthe Weatherhead,Kristina Stone,21
13,Headington School Oxford Boat Club,No,A,Tilly Burn,Anna Lockhart,Mattea Wuethrich,Cordelia Mahony,Alice Van Onselen,Lucy Pullinger,Frances Curtis,Hannah Hornby,22
29,Tideway Scullers School,No,B,Holly Smith,Marlie Carter Edwards,Elizabeth Hatch,Catherine O'Riordan,Kirstyn Luton,Emily Walters,Charley Wedderburn,Katie Potter,23
38,Thames Rowing Club,No,B,Emma Feerick,Lucy Nee,Sarah Fabes,Alice Manly,Heather Walker,Lowenna Coad,Katrine Eskander,Iona Casley,24
243,Marlow Rowing Club,No,C,Talia Antioco,Daisy Bellamy,Emma Louise Stilwell,Izzie Bird,Natasha Strudwick,Charlotte Fennell,Emma Dabinett,Eve Lombardo,25
30,Bristol University Boat Club,No,A,Jessica Pope,Grace Ward-Allen,Sally Elphick,Charlotte Greenwood,Rosie Watkins,Georgiana Townley,Alice Lovett,Phoebe Beer,26
46,Oxford Brookes University Boat Club,No,C,Coralie Spearman,Emily Paul,Esme Booth,Jordan Simper,Rachel Cannon,Lucy McIntyre,Harriet Ferguson,Katie Metalli,27
22,Imperial College Boat Club,No,B,Alice Jefferies,Rebecca Rowe,Ophelia Millar,Georgiana Malin,Gledisa Musollari,Naomi Doye,Philippa England,Jade Hubbard,28
9,CUS Milano ,No,,Laura Pagnoncelli,Nadine Anna Elizabeth Agyemang Heard,Ilaria Compagnoni,Arianna Passini,Vittoria Tonoli,Benedetta Bulgheroni,Matilde Sturaro,Rosa Lucania,29
80,Vesta Rowing Club,No,A,Robyn McGregor-Ritchie,Kirsty McGregor-Ritchie,Ruth McKellar,Jamie-Rose Larkin,Catherine Long,Sarah Thompson,Louisa Emkes,Chloe Symmonds,30
36,Edinburgh University Boat Club,No,B,Laura Mcdonald,Louise Howat,Abigail Craig,Elizabeth Cooper,Aoife McCarthy,Imogen Greig-Connor,Lauren Macnaughton,Hannah Davis,31
81,University of London Boat Club,No,C,Leanna Beswick,Amelia Reddish,Rose Bernard,Jessica Milborne ,Catherine O'Leary,Olivia Rogerson,Maud Moir,Harriet Orr,32
32,Auriol Kensington Rowing Club,No,A,Hannah Smith,Kate O'Sullivan,Katherine Pankhurst,Sophie Lovett,Joanna Innes-Hopkins,Tamara Zwaagstra,Kirsty Page,Angela Hitchens,33
20,Glasgow University Boat Club,No,A,Aliese Steinhart,Marlene Cornelis,Grainne Maguire Conneely,Nina Gray,Emma Pearson,Ellen Smith,Robyn Gillies,Niamh McClure,34
35,Durham University Boat Club,No,B,Alicia Schwarzenbach,Ashleigh Mason,Samantha Bousfield,Saskia Devereux,Anna van der Star,Emily Grant,Madeleine Orr,Gabriella Hatfield,35
50,Mortlake Anglian & Alpha Boat Club,No,A,Catharine Bruce,Jennifer Aitken,Sophie Piper,Zoe Brass,Kaila Engelsman,Jade Robertson,Claire Brown,Amy Hudson,36
31,Agecroft Rowing Club,No,A,Harriet West,Bethan Birdsey,Terri Maynard,Catherine Pringle,Kate Silverthorne,Charlotte Grandfield,Alexandra Gardiner,Grace Miller,37
100,Nottinghamshire County Rowing Association ,No,,Abigail Clark,Aimee Richards,Jessica Eaves,Tilly Ireland,Lucy Stokes,Madeleine Moore,Megan Pepper,Priya Jenkins,38
24,City of Oxford Rowing Club,No,A,Emily Lyons,Naomi Sharma,Kimberley Salter,Lucy Martin,Corinne Larkworthy,Louisa Taylor,Merel Lefferts,Stacey Crocker,39
109,Bath University Boat Club,No,A,Phoebe Eaton,Eleanor Denham,Jessica Pidgeon,Elizabeth Stacey,Kate Hunt,Robyn Bell,Hannah Bartholomew,Sophia Stiling,40
33,Lea Rowing Club,No,A,Rebecca Minnich,Bridget Snaith,Anita Davies,Amy Johnson,Amanda Benson-Skailes,Nicole Cooke,Valentina Futoryanova,Lizzie Chapman,41
88,Cambridge University Womens Boat Club,No,C,Kate McDaid,Katie Bruce,Clare Pearson,Sarah Carlotti,Olivia Jamrog,Kate Shipley,Sally O'Brien,Rebecca Dell,42
27,Nottingham University Boat Club,No,A,Aerin Thompson,Claudia Adams,Georgia Bonfield,Grace Fielding,Isabelle Glanvill,Lucy Gillbanks,Eleanor Ball,Nina Giambrone,43
39,Henley Rowing Club,No,B,Rebecca Lister,Phoebe Snowden,Madeleine Pollard,Georgia Brown,Amber Weller,Emeline Warner,Grace Johnson ,Charlotte Rowley,44
37,Grosvenor Rowing Club,No,A,Siobhan Barnard,Charlie Shaw,Mairead Flannery,Laura Champion,Carly Morris,Maddie Archer,Jessica Hulson,Ellen Mitchell,45
47,Putney Town Rowing Club,No,A,Jade Gowan,Laura Tompkins,Amy Crowe,Catherine Gleave,Kathryn Lewis,Lauren Buchanan,Catriona Docherty,Emily Bowden,46
51,Upper Thames Rowing Club,No,,Emma Peacock,Antonia Helen van Deventer Moss,Rhianna Cearns,Mary Merritt-Smith,Alex Flynn,Sally Pollok-Morris,Amanda Hynes,A Brooks,47
48,St Andrews University Boat Club,No,A,Morgan Hartley,Jodie Cameron,Julia Marache,Eleanor Livingston,Skye Arnott,Hannah Myatt,Kirstin Giddy,Alice Thompson,48
58,Quintin Boat Club/Tideway Scullers School/Kingston Rowing Club/London Rowing Club/MortlakeA&A Boat Club,Quintin Boat Club,,Rebekah Edgar,Claire McIntosh,G M Peck,Lorna Cardwell,Kate Grose,Judith Schulz,Elaine Johnstone,Andrea Finn,49
23,Wallingford Rowing Club,No,A,Alice Brown,Mary Murray,Emily Booker,Becky Waller,Rachel Edge,Jenny Taylor,Julia Wilks,Samantha Burrows,50
244,Lea Rowing Club,No,D,Alice Bolitho,Matilda Power,Elsa Froggatt-Brown,Molly Foxell,Ella Sharman,Rachel McDonald,Rosa Millard,Laura Ellington,51
104,Agecroft Rowing Club,No,B,Emma Bleasdale,Emma Bailey,Jessica Swindells,Ashling Baggaley,Charlotte Waghorne,Florence Morton,Hattie Bracey,Molly Kearney,52
92,City of Bristol Rowing Club,No,A,Poppy Campbell,Annabel Young,Emma Bawden,Lauren O'Neill,Lindsay Scott,Jenny Chapman,Amy Gardner,Chloe Farrar,53
93,Vesta Rowing Club,No,B,Rebecca Kelly,Katie Baulkwill,Mikaela Blowing,Harriet Farquharson,Jessica Bromley,Charlotte Lennox,Clare Wood,Cameo Choquer,54
43,Newcastle University Boat Club,No,C,Elizabeth Fuller,Sophie Adams,Emily Soppitt,Christina Castledine,Katy-Ann Claridge,Frances Munro,Lydia Davis,Victoria Chamberlain,55
246,Sir William Perkinss School Rowing Club ,No,,Louise Wax,Eve Linney,Ella Ayoade,Lerin Adetola,Emily Keen,Annabelle Taylor,Olivia Garnham,Isabella Daniels,56
45,Headington School Oxford Boat Club,No,B,Rachel Grainger,Alexandra Peach,Amarna Milne,Charlotte Barker,Madeleine Chichester,Alice Plucknett,Zakira Klico,Trudie Marks,57
40,Tideway Scullers School,No,C,Rachel Dean,Mary McWilliam,Maxi Scibor-Rylska,Sally Trump,Amy Kilby,Elizabeth Williams,Kate Thorne,Alexandra Courage,58
34,Birmingham University Boat Club,No,A,Bethany Holmes,Harriet Lowe,Rose Andryszewska,Hannah Chatfield,Isobel Haig,Henrietta Green,Victoria Wright,Ayesha Wooler,59
95,Cantabrigian Rowing Club,No,B,Eve Beere,Helen Fishwick,Valentina Sassow,Cecilia Collins-Taylor,Anna te Water Naude ,Hannah Stewart,Bailee Stratton,Anita Holender,60
96,Curlew Rowing Club,No,A,Rebecca Jackson,Emily Wilsher,Sophie Leonard,Inga Jirgensone,Amy Powell,Danielle Vande Voorde,Gemma Barker,Jessica Phillips,61
242,Tideway Scullers School,No,D,Amalia White,Ana Mavra,Aurelia Cowan,Helena Bentley,Jessie Goodall,Isabel Lack,Orla Supple,India Lawrence,62
113,Southampton University Boat Club,No,A,Evelyn Watson,Rachel Shaw,Alicia Bevan,Charlotte Pollecutt-Gray,Emily Marshall,Sophie Gray,Aisling Brown,Becca Sebley,63
87,Bristol University Boat Club,No,B,Anna Roe,Susie Castle,Natalie Dixon,Katie Macdonald,Georgia Swiatoniowski,India Ayling,Grace Tribe,Charlotte Rogers,64
90,Barnes Bridge Ladies Rowing Club,No,A,Rachael Rigamonti,Sarah Kelly,Laura Oakley,Clemmy Fontaine,Cara Cahill,Rebecca Martin,Christina Richardson,Sarah Powell,65
124,Royal Chester Rowing Club ,No,,Lowri Stubbs,Cathryn Jones,Angela Jane Sheldon,Chloe Sheward,Sarah McKay,Jeni Clegg,Carmen Lasok-Smith,Paige Cox,66
83,Staines Boat Club,No,A,Georgina Burdon,Rachel Brown,Catherine Long,Rebecca Bannister,Maddison Shoolbread,Emma Corless,Claire Couves,Patricia Corless,67
129,Surrey University Boat Club,No,A,Fiona Norris,Megan Moloney,Sophie Hossack,Maddie Gardner,Megan Pearson ,Anika Piezka,Eleanor Stevens,Jasmine Bone,68
84,Molesey Boat Club,No,C,Lillie Reid,Millie Smallbone,Bethan Murphy,Courtney Price,Emma Boyns,Amber Hickson,Lydia Cronin,Holly Airbright,69
82,Thames Rowing Club,No,C,Victoria Scott,Louisa Currey,Rebecca Williams,Sally-Ann Hickey,Laura Phillips,Helen Carswell,Jemima Price,Aimee Campbell,70
56,Rowing Club Lausanne ,No,,Layla Bounouar,Cattin Haloe,Lebel Nadia,Meyer Ella,Angela Zimmermann,Jenna Wittwer,Marie Battistolo,Paloma Maillard,71
69,Upper Thames Rowing Club/City of Sheffield Rowing Club,Upper Thames Rowing Club,,Janet Vickers,Amanda Calvert,Elise Cope,Rebecca Sadler,Naomi Ashcroft,Louise Wymer,Juliet Machan,Miriam Luke,72
132,St Andrew Boat Club,No,A,Charlotte Dobson,Charlotte Scott,Ellen Brignall,Rebecca Scott,Hannah Walker,Camilla Hadland,Robyn Patton,Amy Sweeny,73
252,Scottish Argonauts ,No,,Kirsty MacArthur,Abigail Topp,Ailish Lurring,Anna Colley,Heather Gordon,Sara Johnston,Megan Hewison,Elspeth Grant,74
247,Glasgow Academy Rowing Club/Glasgow Schools Rowing Club ,Glasgow Academy Rowing Club,,Ailsa Martin,Kirsty Hunter,Catriona Andrews,Lauren Amner,Katie Maltby,Natalie Smart,Jennifer Olney,Louise Miller,75
89,Tyne Amateur Rowing Club ,No,,Victoria Phelan,Megan Stocker,Charlie Charlton,Beth Laidlaw,Renske Herrema,Claudia Turley,Laura Clack,Leah Kindleyside,76
135,Jesus College Boat Club,No,A,Ailidh Burgess,Claire Glanville,Julia Sala Bayo,Charlotte Jackson,Alexandra Gutai,Abigail Smith,Emma Clifton,Celia Kessler,77
184,Glasgow University Boat Club,No,B,Katrina Bryce ,Jane MacGregor,Rebeccas Perry,Kirsty Naismith,Maeve Dale,Anna Winton,Jenny McCormack,Amy Fraser,78
102,Surbiton High School Boat Club ,No,,Mia Williams,Emma Croft,Hannah Donaldson,Imogen Moore,Jessica Hunter,Emma Hall,Amy Pearson,Freya Spurling,79
160,Newnham College Boat Club ,No,,Isabella Bentley,Emma Karslake,Kathryn Jones,Harriet Haysom,Ellie Holloway,Adriana Perez Rotondo,Rhiannon Smith,Alice Cozens,80
55,Real Club Mediterraneo,No,,Maria Galvan,Celia Miguel,Ana Costas,Victoria Pulido,Teresa Diaz,Angela Rodriguez,Ana Moreno,Laura Ramos,81
54,Fulham Reach Boat Club ,No,,Sally Hodgson,Katie O'Toole,Jennifer Arthur,Marieke Bal,Elizabeth Cottrell,Helen Austin,Beatrix Sheldrick,Christina Duffy,82
254,Dart-Totnes Amateur Rowing Club,No,B,Eleanor Beeley,Alice Franklin,Abigail Culpan,Charlie Cooper,Lucy Flynn,Ella Mutch,Laura Norman,Emma Norman,83
108,Llandaff Rowing Club ,No,,Laura Starrs,Elinor George,Annika Axelsen,Catherine Raine,Phillipa Thomas,Eleanor Taylor,Alison Boyes,Emily Brace,84
136,Leeds University Boat Club,No,A,Tara Chan-A-Sue,Lois Beaumont,Dorothy Papp,Abigail Wade,Nathalie Cousins,Heather Hall,Bethan Hope-Bell,Lara Connolley,85
121,Cardiff University Boat Club,No,A,Emily Martin,Catherine Gray,Miranda Clements,Honor Bailey,Olivia Howe,Ella Tepper,Meredith Graham,Georgie Haynes,86
161,York University Boat Club,No,B,Gabriella Barnard-Edmunds,Isla McAully,Amanda Jackson,Elizabeth Maunder,Kathryn Mole,Leonor Marques-Worssam,Victoria Thomas,Katherine Hill,87
238,Queens University Belfast Ladies Boat Club,No,A,India Harris,Emily Romeril,Rachel Coulter,Victoria Coulter,Elle McMaster,Emily Sampson-Barnes,Victoria Wallace,Lucy Burrows,88
162,Aberdeen University BC/Robert Gordon University BC,Aberdeen University BC,A,Rebecca elliot,Kate Ferrier,Grace Blissit,Elizabeth Buchan,Victoria Singleton,Karlijn Korpershoek,Erin Georgia Wyness,Ruth Grant,89
134,Edinburgh University Boat Club,No,C,Olivia Haywood,Lane Miller,Jade Carlyle,Eloise Rimmer,Laura Nicoll,Sasha Cleere,Zoe Brown,Sophie Finch,90
86,University of London Boat Club,No,D,Amelie Peiker,Cora Salkovskis,Amy Binnion,Thais Umbelino-Purton,Esme Jones,Lottie Bruce,Alicia Redman,Georgia Edwards,91
233,Gloucester Hartpury Rowing Club/Gloucestershire University Rowing Club,Gloucester Hartpury Rowing Club,,Bryony Lawrence,Sophie Schryver,Jennifer Bates,Chelsea Armstrong,Jade Colton,Alicia Gulliver,Orlagh Cottier,Zoe Williamson,92
144,Newark Rowing Club/Derby Rowing Club,Newark Rowing Club,,Cathy Gillespie,Diane Fenoulhet,Michele Wilson,Martha Nutkins,Jane Hindmarch,Phoebe Cook,Natalie Maine,Lucy Owens,93
25,Marlow Rowing Club,No,A,Jessica Evans,Emma Boddy,Philippa Harrison,Amanda Rice,Victoria Parsons,Ruth Naylor,Joanna Wootton,Lauren Weatherall,94
123,Ardingly Rowing Club ,No,,Clare Davison,Ursula Tanner,Kate Jolly,Lieben Dickens,Hope Warren,Linda Goldsmith,Poppy Durkan,Caroline Reed,95
214,Army Rowing Club ,No,,Alice Easton,Ella Barnard,Jillian Tovey,Eve Newton,Lucy Cruxton,Maria Larsen,Suzanne Talbot,Faye Snowdon,96
145,Downing College Boat Club ,No,,Grace Eickmann,Hannah Marsden,Josie Hughes,Myrthe Praat,Katherine Robinson,Georgina Frater,Kirsty Nangle,Katherine Bobroske,97
147,Leeds Rowing Club ,No,,Emily Holt,Charlotte Arden,Ellen Genetello,Lauren Allanson,Charlotte Milligan,Ella Sadler-Andrews,Adelyn Barr,Hannah Duncan,98
49,Ruder-Club Tegel/Ruder-Club Potsdam,Ruder-Club Tegel,,Verena Broich,Wiebke Kauffold,Anna Korge,Allegra Lorenz,Sophie Platte,Mandy Reppner,Louisa Neuland,Jessika Fuhr,99
170,Emmanuel Boat Club,No,A,Christiane Kienl,Molly Biddell,Clare Gayer,Pip Elmer,Catherine Gorrie,Megan Armishaw,Claire Restarick ,Lucy Allen,100
