competition,event,race,code,date,position,nationality,time,crew
2010 European Championships,M2+,Men's Coxed Pair - Final,F,11/09/2010,1,BLR,07:45.5,"LIALIN, Vadzim; KAZUBOUSKI, Aliaksandr; PIATRYNICH, Piotr"
2010 European Championships,M2+,Men's Coxed Pair - Final,F,11/09/2010,2,ITA,07:48.8,"PONTI, Simone; PALMISANO, Mario; LENZI, Andrea"
2010 European Championships,M2+,Men's Coxed Pair - Final,F,11/09/2010,3,CZE,07:53.4,"HOUSKA, Jakub; MAKOVICKA, Jakub; HEJDUSEK, Oldrich"
2010 World Rowing Championships,M2+,Men's Coxed Pair - Final,F,06/11/2010,1,AUS,07:03.3,"MORGAN, Christopher; GRIMM, Dominic; WEBSTER, David"
2010 World Rowing Championships,M2+,Men's Coxed Pair - Final,F,06/11/2010,2,ITA,07:04.4,"PERINO, Paolo; FRATTINI, Pierpaolo; LENZI, Andrea"
2010 World Rowing Championships,M2+,Men's Coxed Pair - Final,F,06/11/2010,3,GER,07:06.2,"MUNSKI, Maximilian; ADAMSKI, Filip; KOWERT, Albert"
2010 World Rowing Championships,M2+,Men's Coxed Pair - Final,F,06/11/2010,4,USA,07:07.9,"STANGEL, Justin; GUREGIAN, Nareg; YOUNG JR., Stephen"
2010 World Rowing Cup III,M2+,Men's Coxed Pair - Final,F,10/07/2010,1,AUS,07:26.9,"GRIMM, Dominic; COUDRAYE, Bryn; LISTER, Tobias"
2010 World Rowing Cup III,M2+,Men's Coxed Pair - Final,F,10/07/2010,2,ITA,07:34.5,"LIUZZI, Emanuele; PERETTI, Michele; FANCHI, Niccolo"
2011 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H1,29/08/2011,1,ITA,07:04.2,"CAPELLI, Vincenzo; FRATTINI, Pierpaolo; FANCHI, Niccolo"
2011 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H1,29/08/2011,2,USA,07:10.3,"JOHNSON, Derek; DIDIER, Blaise; ALTIMARI, Anthony"
2011 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H1,29/08/2011,3,CAN,07:11.9,"LIGHT, Kevin; VANKNOTSENBURG, Steven; PRICE, Brian"
2011 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H1,29/08/2011,4,UKR,07:29.4,"PRYTULA, Leonid; IAKYMCHUK, Andrii; PANCHUK, Yuriy"
2011 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H2,29/08/2011,1,AUS,06:58.4,"LOCKWOOD, William; CHAPMAN, James; WEBSTER, David"
2011 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H2,29/08/2011,2,GER,06:58.9,"BERTRAM, Rene; EICHNER, Florian; BOEHM, Frederik"
2011 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H2,29/08/2011,3,FRA,07:09.6,"DEMEY, Benoit; CHOPY, William; BENOIT, Anthony"
2011 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H2,29/08/2011,4,CRO,07:20.8,"JANJIC, Ante; KOLOBARIC, Vjekoslav; PETRISKO, Silvijo"
2011 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,02/09/2011,1,ITA,06:56.5,"CAPELLI, Vincenzo; FRATTINI, Pierpaolo; FANCHI, Niccolo"
2011 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,02/09/2011,2,AUS,06:58.2,"LOCKWOOD, William; CHAPMAN, James; WEBSTER, David"
2011 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,02/09/2011,3,CAN,07:00.8,"LIGHT, Kevin; VANKNOTSENBURG, Steven; PRICE, Brian"
2011 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,02/09/2011,4,GER,07:03.1,"BERTRAM, Rene; EICHNER, Florian; BOEHM, Frederik"
2011 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,02/09/2011,5,CRO,07:05.0,"JANJIC, Ante; KOLOBARIC, Vjekoslav; PETRISKO, Silvijo"
2011 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,02/09/2011,6,USA,07:07.6,"JOHNSON, Derek; DIDIER, Blaise; ALTIMARI, Anthony"
2011 World Rowing Championships,M2+,Men's Coxed Pair - Final,FB,02/09/2011,1,FRA,07:19.3,"DEMEY, Benoit; CHOPY, William; BENOIT, Anthony"
2011 World Rowing Championships,M2+,Men's Coxed Pair - Final,FB,02/09/2011,2,UKR,07:26.5,"PRYTULA, Leonid; IAKYMCHUK, Andrii; PANCHUK, Yuriy"
2011 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R,31/08/2011,1,GER,07:02.8,"BERTRAM, Rene; EICHNER, Florian; BOEHM, Frederik"
2011 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R,31/08/2011,2,CAN,07:03.7,"LIGHT, Kevin; VANKNOTSENBURG, Steven; PRICE, Brian"
2011 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R,31/08/2011,3,USA,07:04.4,"JOHNSON, Derek; DIDIER, Blaise; ALTIMARI, Anthony"
2011 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R,31/08/2011,4,CRO,07:04.4,"JANJIC, Ante; KOLOBARIC, Vjekoslav; PETRISKO, Silvijo"
2011 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R,31/08/2011,5,FRA,07:07.4,"DEMEY, Benoit; CHOPY, William; BENOIT, Anthony"
2011 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R,31/08/2011,6,UKR,07:23.0,"PRYTULA, Leonid; IAKYMCHUK, Andrii; PANCHUK, Yuriy"
2011 World Rowing Cup III,M2+,Men's Coxed Pair - Final,FA,09/07/2011,1,ITA,07:14.4,"BATTISTI, Romano; AGAMENNONI, Luca; FANCHI, Niccolo"
2011 World Rowing Cup III,M2+,Men's Coxed Pair - Final,FA,09/07/2011,2,AUS,07:20.7,"LOCKWOOD, William; CHAPMAN, James; LISTER, Tobias"
2012 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H1,15/08/2012,1,CAN,07:11.2,"LANGERFELD, Kai; MCCLELLAND, Peter; LAWSON, Dane"
2012 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H1,15/08/2012,2,USA,07:13.4,"DIDIER, Blaise; STANGEL, Justin; YOUNG JR., Stephen"
2012 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H1,15/08/2012,3,POL,07:15.0,"KEDZIERSKI, Miloslaw; ABLEWSKI, Ryszard; TROJANOWSKI, Daniel"
2012 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H1,15/08/2012,4,GER,07:24.8,"MAKOWSKI, Daniel; DZAMBASEVIC, Milan; DUEHRING, Christoph"
2012 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H1,15/08/2012,5,UKR,07:30.1,"BAZYLYEV, Serhiy; PRYTULA, Leonid; VARNYAGA, Oleksandr"
2012 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H2,15/08/2012,1,FRA,07:04.7,"MOLINA, Michael; LANG, Benjamin; MANCEAU, Benjamin"
2012 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H2,15/08/2012,2,BLR,07:06.5,"SHCHARBACHENIA, Stanislau; KAZUBOUSKI, Aliaksandr; PIATRYNICH, Piotr"
2012 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H2,15/08/2012,3,ITA,07:06.6,"PERINO, Paolo; TRANQUILLI, Andrea; FANCHI, Niccolo"
2012 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H2,15/08/2012,4,ROU,07:25.1,"STRUNGARU, Ionel; DUDUTA, Ciprian; STEFAN, Florin"
2012 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,18/08/2012,1,BLR,06:55.3,"SHCHARBACHENIA, Stanislau; KAZUBOUSKI, Aliaksandr; PIATRYNICH, Piotr"
2012 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,18/08/2012,2,FRA,06:55.9,"MOLINA, Michael; LANG, Benjamin; MANCEAU, Benjamin"
2012 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,18/08/2012,3,CAN,06:56.6,"LANGERFELD, Kai; MCCLELLAND, Peter; LAWSON, Dane"
2012 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,18/08/2012,4,ITA,06:56.9,"PERINO, Paolo; TRANQUILLI, Andrea; FANCHI, Niccolo"
2012 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,18/08/2012,5,GER,07:07.8,"MAKOWSKI, Daniel; DZAMBASEVIC, Milan; DUEHRING, Christoph"
2012 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,18/08/2012,6,USA,07:20.9,"DIDIER, Blaise; STANGEL, Justin; YOUNG JR., Stephen"
2012 World Rowing Championships,M2+,Men's Coxed Pair - Final,FB,18/08/2012,1,ROU,07:08.0,"STRUNGARU, Ionel; DUDUTA, Ciprian; STEFAN, Florin"
2012 World Rowing Championships,M2+,Men's Coxed Pair - Final,FB,18/08/2012,2,POL,07:12.5,"KEDZIERSKI, Miloslaw; ABLEWSKI, Ryszard; TROJANOWSKI, Daniel"
2012 World Rowing Championships,M2+,Men's Coxed Pair - Final,FB,18/08/2012,3,UKR,07:13.3,"BAZYLYEV, Serhiy; PRYTULA, Leonid; VARNYAGA, Oleksandr"
2012 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R,16/08/2012,1,ITA,07:16.6,"PERINO, Paolo; TRANQUILLI, Andrea; FANCHI, Niccolo"
2012 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R,16/08/2012,2,GER,07:16.8,"MAKOWSKI, Daniel; DZAMBASEVIC, Milan; DUEHRING, Christoph"
2012 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R,16/08/2012,3,ROU,07:18.0,"STRUNGARU, Ionel; DUDUTA, Ciprian; STEFAN, Florin"
2012 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R,16/08/2012,4,POL,07:22.4,"KEDZIERSKI, Miloslaw; ABLEWSKI, Ryszard; TROJANOWSKI, Daniel"
2012 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R,16/08/2012,5,UKR,07:28.1,"BAZYLYEV, Serhiy; PRYTULA, Leonid; VARNYAGA, Oleksandr"
2013 World Rowing Championships,M2+,Men's Coxed Pair - Final,F,30/08/2013,1,ITA,07:09.2,"PARLATO, Luca; ABBAGNALE, Vincenzo; D'ANIELLO, Enrico"
2013 World Rowing Championships,M2+,Men's Coxed Pair - Final,F,30/08/2013,2,GER,07:12.3,"SCHROETER, Paul; BECHLER, Bastian; WIESEN, Jonas"
2013 World Rowing Championships,M2+,Men's Coxed Pair - Final,F,30/08/2013,3,FRA,07:13.5,"MOINAUX, Matthieu; CADOT, Laurent; MANCEAU, Benjamin"
2013 World Rowing Championships,M2+,Men's Coxed Pair - Final,F,30/08/2013,4,USA,07:16.2,"WHEELER, Matthew; MUNN, Robert; YOUNG JR., Stephen"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H1,25/08/2014,1,GBR,07:01.6,"SINCLAIR, Alan; DURANT, Scott; FIELDMAN, Henry"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H1,25/08/2014,2,ITA,07:08.6,"CANCIANI, Sergio; TRANQUILLI, Andrea; RIVA, Andrea"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H1,25/08/2014,3,GER,07:12.1,"KLUGE, Peter; EGLER, Alexander; WIESEN, Jonas"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H1,25/08/2014,4,AUS,07:13.1,"ELLIS, George; CUNNINGHAM-REID, Christopher; WEBSTER, Timothy"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H1,25/08/2014,5,RUS,07:27.2,"GRITSENKO, Lev; MISYUTKIN, Viktor; SAFONKIN, Pavel"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H1,25/08/2014,6,FRA,07:31.1,"MOUSNIER, Cedric; MONTET, Julien; ALMADANI, Badreddin"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H2,25/08/2014,1,NZL,07:05.6,"MURRAY, Eric; BOND, Hamish; SHEPHERD, Caleb"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H2,25/08/2014,2,NED,07:12.1,"SLUIS, Nanne; SPOELSTRA, Gerbren; JANSSEN, Paul"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H2,25/08/2014,3,ARG,07:12.8,"DIAZ, Agustin; IWAN, Joaquin; INFANTE, Joel"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H2,25/08/2014,4,USA,07:18.5,"BROWN, Taylor; HOFFSTOT, Henry; CARLSON, John"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H2,25/08/2014,5,RSA,07:26.4,"HUNT, David; BRITTAIN, Lawrence; MORGAN, Willie"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H2,25/08/2014,6,UKR,07:35.4,"PRYKHODKO, Pavlo; IVANCHUK, Andriy; PANCHUK, Yuriy"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,29/08/2014,1,NZL,06:33.3,"MURRAY, Eric; BOND, Hamish; SHEPHERD, Caleb"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,29/08/2014,2,GBR,06:43.5,"SINCLAIR, Alan; DURANT, Scott; FIELDMAN, Henry"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,29/08/2014,3,GER,06:45.9,"KLUGE, Peter; EGLER, Alexander; WIESEN, Jonas"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,29/08/2014,4,ARG,06:47.5,"IWAN, Joaquin; DIAZ, Agustin; INFANTE, Joel"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,29/08/2014,5,RSA,07:02.4,"HUNT, David; BRITTAIN, Lawrence; MORGAN, Willie"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,29/08/2014,6,NED,07:07.7,"SLUIS, Nanne; SPOELSTRA, Gerbren; JANSSEN, Paul"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Final,FB,29/08/2014,1,ITA,06:49.6,"CANCIANI, Sergio; TRANQUILLI, Andrea; RIVA, Andrea"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Final,FB,29/08/2014,2,USA,06:53.3,"BROWN, Taylor; HOFFSTOT, Henry; CARLSON, John"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Final,FB,29/08/2014,3,AUS,06:57.7,"ELLIS, George; CUNNINGHAM-REID, Christopher; WEBSTER, Timothy"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Final,FB,29/08/2014,4,UKR,07:07.0,"PRYKHODKO, Pavlo; IVANCHUK, Andriy; PANCHUK, Yuriy"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Final,FB,29/08/2014,5,RUS,07:08.9,"GRITSENKO, Lev; MISYUTKIN, Viktor; SAFONKIN, Pavel"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Final,FB,29/08/2014,6,FRA,07:20.5,"MOUSNIER, Cedric; MONTET, Julien; HACOT, Thibaut"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R1,27/08/2014,1,ARG,07:17.9,"DIAZ, Agustin; IWAN, Joaquin; INFANTE, Joel"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R1,27/08/2014,2,RSA,07:19.2,"HUNT, David; BRITTAIN, Lawrence; MORGAN, Willie"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R1,27/08/2014,3,ITA,07:20.6,"CANCIANI, Sergio; TRANQUILLI, Andrea; RIVA, Andrea"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R1,27/08/2014,4,AUS,07:24.8,"ELLIS, George; CUNNINGHAM-REID, Christopher; WEBSTER, Timothy"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R1,27/08/2014,5,FRA,07:35.3,"HACOT, Thibaut; MOUSNIER, Cedric; MONTET, Julien"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R2,27/08/2014,1,GER,07:17.5,"KLUGE, Peter; EGLER, Alexander; WIESEN, Jonas"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R2,27/08/2014,2,NED,07:22.6,"SLUIS, Nanne; SPOELSTRA, Gerbren; JANSSEN, Paul"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R2,27/08/2014,3,USA,07:24.6,"BROWN, Taylor; HOFFSTOT, Henry; CARLSON, John"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R2,27/08/2014,4,UKR,07:34.0,"PRYKHODKO, Pavlo; IVANCHUK, Andriy; PANCHUK, Yuriy"
2014 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R2,27/08/2014,5,RUS,07:37.1,"GRITSENKO, Lev; MISYUTKIN, Viktor; SAFONKIN, Pavel"
2014 World Rowing Cup III,M2+,Men's Coxed Pair - Final,FA,13/07/2014,1,GER,07:03.0,"KLUGE, Peter; EGLER, Alexander; WIESEN, Jonas"
2014 World Rowing Cup III,M2+,Men's Coxed Pair - Final,FA,13/07/2014,2,GBR,07:03.6,"SINCLAIR, Alan; DURANT, Scott; FIELDMAN, Henry"
